Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank service fee charged,359617,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Utility expense paid,162558,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Audit fees paid,450037,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Marketing campaign expense,474564,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office rent paid,248717,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly payroll payment,166313,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Rent expense booked,178006,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Advertising charges paid,468006,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Utility expense paid,343409,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Utility expense paid,488840,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Business insurance paid,279645,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Google advertisement expense,62451,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Travel reimbursement paid,73438,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Transaction charges deducted,428652,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales income received,160503,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Processing charges deducted,481977,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Utility expense paid,6117,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales collection received,314564,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Printer purchased,328471,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Staff salary paid,426023,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST deposited,146547,GST,GST Payable,GST Payable Dr | To Bank,Liability
Warehouse rent paid,61282,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Health insurance premium,259357,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly rent transferred,332733,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Office furniture purchased,245932,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Consultancy fees paid,395853,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Telephone bill paid,323295,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Flight ticket booked,48837,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank commission charged,271969,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST deposited,209988,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle purchased,314777,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer payment received,471135,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,304205,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Vehicle purchased,122578,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Telephone bill paid,212280,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Revenue received from client,8070,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Professional charges paid,461457,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Monthly rent transferred,3273,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Laptop purchased,278258,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Laptop purchased,213523,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Health insurance premium,125115,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Electricity bill paid,205989,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST deposited,211948,GST,GST Payable,GST Payable Dr | To Bank,Liability
Hotel expense paid,223926,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Printer purchased,51421,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Flight ticket booked,340733,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Monthly rent transferred,490932,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Vehicle insurance paid,47042,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer payment received,172537,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Health insurance premium,291192,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Office rent paid,117461,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
CA fees paid,41173,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Computer equipment purchased,221277,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Water bill paid,495474,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Consultancy fees paid,489564,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Loan principal paid,285400,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Legal fees paid,386580,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Water bill paid,33322,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Marketing campaign expense,442838,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,44805,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Employee salary transfer,482505,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Legal fees paid,100573,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Monthly rent transferred,201306,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan EMI paid,19770,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank commission charged,474804,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales income received,205323,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Advertising charges paid,323918,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Facebook advertisement expense,187262,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Flight ticket booked,60687,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Sales income received,34974,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Office furniture purchased,15482,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Flight ticket booked,154567,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Internet bill paid,279679,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Professional charges paid,224039,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST deposited,276568,GST,GST Payable,GST Payable Dr | To Bank,Liability
Business travel expense,337555,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office rent paid,36616,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Promotional expense paid,153867,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Insurance renewal paid,434437,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Audit fees paid,326336,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST deposited,464696,GST,GST Payable,GST Payable Dr | To Bank,Liability
Legal fees paid,200235,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Google advertisement expense,238996,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Taxi fare paid,25588,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST challan payment,71133,GST,GST Payable,GST Payable Dr | To Bank,Liability
Office furniture purchased,2810,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Facebook advertisement expense,293826,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Monthly payroll payment,143112,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Customer receipt recorded,466094,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Transaction charges deducted,211775,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Staff salary paid,371512,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance premium paid,212772,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance renewal paid,439272,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank commission charged,259319,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Professional charges paid,138501,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Taxi fare paid,262972,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Advertising charges paid,284597,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Hotel expense paid,269102,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Utility expense paid,27251,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Processing charges deducted,252078,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Marketing campaign expense,483505,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Internet bill paid,462676,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Computer equipment purchased,283363,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Water bill paid,151636,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan EMI paid,174162,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,486966,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Sales income received,422728,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Computer equipment purchased,334722,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Computer equipment purchased,297755,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST payment made,13139,GST,GST Payable,GST Payable Dr | To Bank,Liability
Staff salary paid,81076,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Sales income received,327081,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST payment made,6381,GST,GST Payable,GST Payable Dr | To Bank,Liability
Insurance renewal paid,480703,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer payment received,123166,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Rent expense booked,281748,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Legal fees paid,113492,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST deposited,60036,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,401642,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer payment received,4316,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,437678,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank loan installment paid,109337,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST tax deposited,236030,GST,GST Payable,GST Payable Dr | To Bank,Liability
CA fees paid,154433,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Consultancy fees paid,406787,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Computer equipment purchased,280524,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business travel expense,49527,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Processing charges deducted,332144,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales collection received,87875,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Warehouse rent paid,166712,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank loan installment paid,2163,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Taxi fare paid,406441,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank commission charged,478534,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Printer purchased,482986,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST tax deposited,453131,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer payment received,210701,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Sales collection received,415672,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Promotional expense paid,483629,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Bank charges deducted,91918,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST liability paid,331388,GST,GST Payable,GST Payable Dr | To Bank,Liability
Sales collection received,301645,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Term loan payment made,289273,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Consultancy fees paid,265949,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Telephone bill paid,200371,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Building rent payment,405774,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan principal paid,98441,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Customer payment received,34429,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Term loan payment made,349941,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Promotional expense paid,326578,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Taxi fare paid,182606,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Vehicle insurance paid,439121,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Flight ticket booked,340446,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST deposited,369228,GST,GST Payable,GST Payable Dr | To Bank,Liability
Sales collection received,316272,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Transaction charges deducted,207862,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank charges deducted,487001,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Monthly rent transferred,95279,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Water bill paid,377613,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Employee salary transfer,24895,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Loan EMI paid,209121,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank service fee charged,494508,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Staff salary paid,148780,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Legal fees paid,416509,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Loan repayment made,248550,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Internet bill paid,8803,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan repayment made,374659,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Printer purchased,411456,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Advertising charges paid,420728,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,18673,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank charges deducted,260286,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales income received,153832,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Travel reimbursement paid,182281,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office rent paid,99694,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Taxi fare paid,106532,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Consultancy fees paid,396753,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Taxi fare paid,386685,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
